Gene	Inheritance_model
C1DUPp36.33	AD
DUP1p36.33	AD
CTRCT8	AD
CCV	AD
MYP14	AD
ISG15	AR
G1P2	AR
IFI15	AR
IMD38	AR
AGRN	AR
CMS8	AR
TNFRSF4	AR
TXGP1L	AR
OX40	AR
ACT35	AR
IMD16	AR
B3GALT6	AR
SEMDJL1	AR
EDSSPD2	AR
ALGAZ	AR
DVL1	AD
DRS2	AD
VWA1	AR
WARP	AR
HMNMYO	AR
ATAD3A	AD,AR
HAYOS	AD,AR
PHRINL	AD,AR
TMEM240	AD
C1orf70	AD
SCA21	AD
GNB1	AD
MRD42	AD
MDS	AD,AR
SKI	AD
SGS	AD
DYT13	AD
KONDS	AR
PEX10	AR
NALD	AR
PBD6A	AR
PBD6B	AR
PRDM16	AD
MEL1	AD
LVNC8	AD
CMD1LL	AD
CEP104	AR
GLYBP	AR
KIAA0562	AR
JBTS25	AR
DFNB96	AR
NPHP4	AR
SLSN4	AR
ESPN	AR
USH1M	AR
PLEKHG5	AR
KIAA0720	AR
DSMA4	AR
CMTRIC	AR
CAMTA1	AD
KIAA0833	AD
CANPMR	AD
GLC3B	AR
PER3	AD
FASPS3	AD
DJ1	AR
PARK7	AR
SLC45A1	AR
DNB5	AR
IDDNPF	AR
RERE	AD
NEDBEH	AD
H6PD	AR
GDH	AR
G6PDH	AR
CORTRD1	AR
PIK3CD	AD,AR,DR
APDS	AD,AR,DR
IMD14A	AD,AR,DR
IMD14B	AD,AR,DR
ROCHIS	AD,AR,DR
NMNAT1	AR
NMNAT	AR
PNAT1	AR
LCA9	AR
SHILCA	AR
KIF1B	AD
CMT2A	AD
CMT2A1	AD
NBLST1	AD
PEX14	AR
PBD13A	AR
TARDBP	AD
TDP43	AD
ALS10	AD
MASP2	AR
MTOR	AD
FRAP1	AD
SKS	AD
UBIAD1	AD
TERE1	AD
SCCD	AD
MAD2L2	AR
MAD2B	AR
FANCV	AR
MTHFR	AR
CLCN6	AD
CONRIBA	AD
NPPA	AD,AR
PND	AD,AR
ANP	AD,AR
ATFB6	AD,AR
ATRST2	AD,AR
PLOD1	AR
LH1	AR
LLH	AR
EDSKCL1	AR
MFN2	AD,AR
KIAA0214	AD,AR
CMT2A2A	AD,AR
HMSN6A	AD,AR
CMT2A2B	AD,AR
VPS13D	AR
SCAR4	AR
CELA2A	AD
ELA2A	AD
AOMS4	AD
SPEN	AD
MINT	AD
SHARP	AD
HIAA0929	AD
RATARS	AD
ANIB3	AD
EA8	AD
CLCNKA	DR
CLCNKB	AR,DR
EPHA2	AD
ECK	AD
CTPP1	AD
CTPA	AD
ARCC2	AD
CTRCT6	AD
ATP13A2	AR
PARK9	AR
KRPPD	AR
SPG78	AR
SDHB	AD,AR
SDH2	AD,AR
SDHIP	AD,AR
PGL4	AD,AR
MC2DN4	AD,AR
PADI3	AR
UHS1	AR
PADI6	AR
PREMBL2	AR
PAX7	AR,SM
RMS2	AR,SM
MYOSCO	AR,SM
ALDH4A1	AR
ALDH4	AR
P5CDH	AR
EMC1	AR
KIAA0090	AR
CAVIPMR	AR
PINK1	AR
PARK6	AR
DDOST	AR
OST	AR
OST48	AR
CDG1R	AR
ECE1	AD
ALPL	AD,AR
HOPS	AD,AR
TNSALP	AD,AR
HPPA	AD,AR
HPPO	AD,AR
HPPI	AD,AR
HPPC	AD,AR
HSPG2	AR
PLC	AR
SJS	AR
SJA	AR
SJS1	AR
CDC42	AD
TKS	AD
WNT4	AD,AR
SERKAL	AD,AR
C1QA	AR
C1QC	AR
C1QG	AR
C1QB	AR
EPHB2	AR
EPHT3	AR
DRT	AR
ERK	AR
PCBC	AR
CAPB	AR
BDPLT22	AR
KDM1A	AD
LSD1	AD
AOF2	AD
BHC110	AD
KIAA0601	AD
CPRF	AD
RPL11	AD
DBA7	AD
GALE	AR
HMGCL	AR
FUCA1	AR
GRHL3	AD
SOM	AD
TFCP2L4	AD
VWS2	AD
LDLRAP1	AR
ARH	AR
FHCB2	AR
FHCB1	AR
FHCL4	AR
SELENON	AD,AR
SEPN1	AD,AR
SELN	AD,AR
RSMD1	AD,AR
CFTD	AD,AR
SLC30A2	AD
ZNT2	AD
TNZD	AD
DHDDS	AD,AR
HDS	AD,AR
RP59	AD,AR
DEDSM	AD,AR
ARID1A	AD
C1orf4	AD
B120	AD
SMARCF1	AD
MRD14	AD
CSS2	AD
PIGV	AR
HPMRS1	AR
NR0B2	AD,AR
SHP	AD,AR
KDF1	AD
C1orf172	AD
ECTD12	AD
SLC9A1	AR
NHE1	AR
APNH	AR
LIKNS	AR
FCN3	AR
HAKA1	AR
AHDC1	AD
XIGIS	AD
MRD25	AD
C1DELp35	AD
DEL1p35	AD
EPB41	AD,AR
EL1	AD,AR
MECR	AR
NRBF1	AR
DYTOABG	AR
PUM1	AD
KIAA0099	AD
SCA47	AD
LCK	AR
IMD22	AR
YARS1	AD,AR
YARS	AD,AR
CMTDIC	AD,AR
TYRRS	AD,AR
YTS	AD,AR
YRS	AD,AR
IMNEPD2	AD,AR
HPCA	AR
DYT2	AR
AK2	AR
GJB4	AD
CX30.3	AD
EKVP2	AD
GJB3	AD,AR
CX31	AD,AR
DFNA2B	AD,AR
EKVP1	AD,AR
ADPRHL2	AR
ARH3	AR
CONDSIAS	AR
COL8A2	AD
FECD1	AD
PPCD2	AD
CSF3R	AR
GCSFR	AR
SCN7	AR
SNIP1	AR
PMRED	AR
RSPO1	AR
FLJ40906	AR
MACF1	AD
ACF7	AD
KIAA1251	AD
LIS9	AD
TRIT1	AR
IPT	AR
COXPD35	AR
MFSD2A	AR
NEDMISBA	AR
PPT1	AR
CLN1	AR
ZMPSTE24	AR
FACE1	AR
STE24	AR
MADB	AR
COL9A2	AD,AR
EDM2	AD,AR
STL5	AD,AR
KCNQ4	AD
DFNA2A	AD
CTPS1	AR
CTPS	AR
IMD24	AR
PPCS	AR
CMD2C	AR
CLDN19	AR
HOMG5	AR
P3H1	AR
LEPRE1	AR
GROS1	AR
OI8	AR
SVBP	AR
CCDC23	AR
NEDAHM	AR
SLC2A1	AD,AR
GLUT1	AD,AR
HTLVR	AD,AR
DYT18	AD,AR
PED	AD,AR
GLUT1DS	AD,AR
EIG12	AD,AR
DYT9	AD,AR
SDCHCN	AD,AR
TIE	AD
JTK14	AD
TIE1	AD
LMPHM11	AD
MPL	AD,AR,SM
TPOR	AD,AR,SM
MPLV	AD,AR,SM
THCYT2	AD,AR,SM
ELOVL1	AD
SSC1	AD
IKSHD	AD
SZT2	AR
KIAA0467	AR
DEE18	AR
PTPRF	AR
LAR	AR
BNAH2	AR
PTOS1	AD
ST3GAL3	AR
SIAT6	AR
ST3GALII	AR
MRT12	AR
DEE15	AR
SLC6A9	AR
GLYT1	AR
GCENSG	AR
PTCH2	AD
EIF2B3	AR
UROD	AD,AR
HPDL	AR
